Genes,pathway
puuC,4-aminobutanoate degradation I
puuC,superpathway of L-arginine and L-ornithine degradation
puuC,superpathway of ornithine degradation
puuC,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
puuC,putrescine degradation II
puuA,superpathway of L-arginine and L-ornithine degradation
puuA,superpathway of ornithine degradation
puuA,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
puuA,putrescine degradation II
caiC,L-carnitine degradation I
eutE,superpathway of L-threonine metabolism
eutE,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
eutE,superpathway of purine deoxyribonucleosides degradation
eutE,superpathway of pyrimidine deoxyribonucleosides degradation
eutE,ethanol degradation I
eutE,L-threonine degradation IV
eutE,mixed acid fermentation
eutE,"2-hydroxypenta-2,4-dienoate degradation"
eutE,2-deoxy-&alpha;-D-ribose 1-phosphate degradation
eutE,ethanolamine utilization
eutB,ethanolamine utilization
aspC,aspartate superpathway
aspC,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
aspC,superpathway of L-aspartate and L-asparagine biosynthesis
aspC,superpathway of L-threonine biosynthesis
aspC,L-aspartate biosynthesis
aspC,L-glutamate degradation II
aspC,L-phenylalanine biosynthesis I
aspC,superpathway of chorismate metabolism
aspC,superpathway of aromatic amino acid biosynthesis
aspC,L-tyrosine biosynthesis I
aspC,hydrogen sulfide biosynthesis I
tdcG,L-serine degradation
putA,proline to cytochrome bo oxidase electron transfer
putA,proline degradation
ansA,L-asparagine degradation I
ansA,superpathway of L-aspartate and L-asparagine biosynthesis
astD,L-arginine degradation II (AST pathway)
gcvP,folate transformations III (E. coli)
gcvP,glycine cleavage
metB,superpathway of S-adenosyl-L-methionine biosynthesis
metB,superpathway of L-homoserine and L-methionine biosynthesis
metB,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
metB,aspartate superpathway
metB,L-methionine biosynthesis I
sdaB,L-serine degradation
dadA,L-alanine degradation I
gcvH,glycine cleavage
gcvH,folate transformations III (E. coli)
tnaA,L-tryptophan degradation II (via pyruvate)
tnaA,L-cysteine degradation II
fumE,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
fumE,superpathway of glyoxylate bypass and TCA
fumE,TCA cycle I (prokaryotic)
fumE,mixed acid fermentation
tdcE,superpathway of L-threonine metabolism
tdcE,L-threonine degradation I
tdcE,mixed acid fermentation
ygaF,L-lysine degradation I
tdcB,L-serine degradation
tdcB,superpathway of L-threonine metabolism
tdcB,L-threonine degradation I
sdaA,L-serine degradation
ansB,L-asparagine degradation I
ansB,superpathway of L-aspartate and L-asparagine biosynthesis
astA,L-arginine degradation II (AST pathway)
astE,L-arginine degradation II (AST pathway)
dadX,L-alanine degradation I
dadX,alanine racemization
glyA,superpathway of L-serine and glycine biosynthesis I
glyA,glycine biosynthesis I
glyA,folate transformations III (E. coli)
glyA,folate polyglutamylation
tynA,superpathway of phenylethylamine degradation
tynA,phenylethylamine degradation I
tynA,superpathway of L-threonine metabolism
tynA,L-threonine degradation III (to methylglyoxal)
iaaA,L-asparagine degradation I
iaaA,superpathway of L-aspartate and L-asparagine biosynthesis
asnB,L-asparagine biosynthesis I
asnB,superpathway of L-asparagine biosynthesis
asnB,superpathway of L-aspartate and L-asparagine biosynthesis
asnB,L-asparagine biosynthesis II
asnB,L-glutamine degradation I
ygaT,L-lysine degradation I
speF,superpathway of L-arginine and L-ornithine degradation
speF,superpathway of ornithine degradation
astB,L-arginine degradation II (AST pathway)
gcvT,folate transformations III (E. coli)
gcvT,glycine cleavage
kbl,superpathway of L-threonine metabolism
kbl,L-threonine degradation II
dsdA,D-serine degradation
tdh,superpathway of L-threonine metabolism
tdh,L-threonine degradation III (to methylglyoxal)
tdh,L-threonine degradation II
prpE,2-methylcitrate cycle I
yfcY,fatty acid &beta;-oxidation I (generic)
yfcY,oleate &beta;-oxidation
atoB,acetoacetate degradation (to acetyl CoA)
atoB,oleate &beta;-oxidation
atoC,AtoSC Two-Component Signal Transduction System
fadA,fatty acid &beta;-oxidation I (generic)
fadA,oleate &beta;-oxidation
mhpB,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
mhpB,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
mhpB,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
fadE,fatty acid &beta;-oxidation I (generic)
fadE,oleate &beta;-oxidation
luxS,autoinducer AI-2 biosynthesis I
luxS,S-adenosyl-L-methionine cycle I
atoD,acetoacetate degradation (to acetyl CoA)
fadB,oleate &beta;-oxidation
fadB,fatty acid &beta;-oxidation I (generic)
yfcX,oleate &beta;-oxidation
yfcX,fatty acid &beta;-oxidation I (generic)
ydiF,acetoacetate degradation (to acetyl CoA)
atoA,acetoacetate degradation (to acetyl CoA)
ybaW,oleate &beta;-oxidation
fadD,2-methylcitrate cycle I
fadD,oleate &beta;-oxidation
fadD,fatty acid &beta;-oxidation I (generic)
glxR,superpathway of glycol metabolism and degradation
glxR,glycolate and glyoxylate degradation I
dgoA,D-galactonate degradation
gatB,superpathway of hexitol degradation (bacteria)
gatB,galactitol degradation
lspA,lipoprotein posttranslational modification
rhaB,superpathway of fucose and rhamnose degradation
rhaB,L-rhamnose degradation I
gadC,superpathway of acetate utilization and formation
gadC,acetate conversion to acetyl-CoA
gadC,2-methylcitrate cycle I
garK,superpathway of glycol metabolism and degradation
garK,superpathway of D-glucarate and D-galactarate degradation
garK,2-O-&alpha;-mannosyl-D-glycerate degradation
garK,glycolate and glyoxylate degradation I
garK,D-galactarate degradation I
garK,D-glucarate degradation I
fucA,superpathway of fucose and rhamnose degradation
fucA,fucose degradation
fucA,D-arabinose degradation I
aceE,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
aceE,pyruvate decarboxylation to acetyl CoA I
hcaF,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
hcaB,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
hcaF,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
hcaB,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
hcaF,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
hcaB,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
idnD,ketogluconate metabolism
idnD,L-idonate degradation
gudD,superpathway of D-glucarate and D-galactarate degradation
gudD,D-glucarate degradation I
paaG,superpathway of phenylethylamine degradation
paaG,phenylacetate degradation I (aerobic)
prpC,2-methylcitrate cycle I
acnB,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
acnB,superpathway of glyoxylate bypass and TCA
acnB,glyoxylate cycle
acnB,TCA cycle I (prokaryotic)
acnB,mixed acid fermentation
acnB,2-methylcitrate cycle I
tktB,pentose phosphate pathway
tktB,pentose phosphate pathway (non-oxidative branch)
tktA,pentose phosphate pathway
tktA,pentose phosphate pathway (non-oxidative branch)
xylB,D-xylose degradation I
dsbA,glutathione-glutaredoxin redox reactions
dsbA,periplasmic disulfide bond formation
glgP,glycogen degradation I
eda,superpathway of hexuronide and hexuronate degradation
eda,superpathway of &beta;-D-glucuronosides degradation
eda,superpathway of glycolysis and the Entner-Doudoroff pathway
eda,D-fructuronate degradation
eda,D-galacturonate degradation I
eda,Entner-Doudoroff shunt
mhpC,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
mhpC,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
mhpC,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
ulaD,"L-ascorbate degradation I (bacterial, anaerobic)"
hcaC,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
hcaC,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
hcaC,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
kbaY,superpathway of hexitol degradation (bacteria)
kbaY,galactitol degradation
sgbE,L-lyxose degradation
sgbE,"L-ascorbate degradation II (bacterial, aerobic)"
yihT,sulfoquinovose degradation I
uxaB,superpathway of hexuronide and hexuronate degradation
uxaB,D-galacturonate degradation I
rbsD,ribose phosphorylation
rpe,pentose phosphate pathway
rpe,pentose phosphate pathway (non-oxidative branch)
frlD,fructoselysine and psicoselysine degradation
paaA,superpathway of phenylethylamine degradation
paaA,phenylacetate degradation I (aerobic)
yiaK,"L-ascorbate degradation II (bacterial, aerobic)"
rpiB,D-allose degradation
rpiB,pentose phosphate pathway
rpiB,pentose phosphate pathway (non-oxidative branch)
galE,colanic acid building blocks biosynthesis
galE,galactose degradation I (Leloir pathway)
galE,UDP-&alpha;-D-galactose biosynthesis
chbF,chitobiose degradation
araD,L-arabinose degradation I
araD,L-lyxose degradation
uxaC,superpathway of &beta;-D-glucuronosides degradation
uxaC,&beta;-D-glucuronide and D-glucuronate degradation
uxaC,superpathway of hexuronide and hexuronate degradation
uxaC,D-galacturonate degradation I
kbaZ,superpathway of hexitol degradation (bacteria)
kbaZ,galactitol degradation
dhaL,glycerol degradation V
uxuB,superpathway of hexuronide and hexuronate degradation
uxuB,superpathway of &beta;-D-glucuronosides degradation
uxuB,D-fructuronate degradation
rcsD,Rcs Signal Transduction System
galM,galactose degradation I (Leloir pathway)
manA,colanic acid building blocks biosynthesis
manA,D-mannose degradation
manA,GDP-mannose biosynthesis
lacZ,lactose degradation III
creC,CreCB Two-Component Signal Transduction System
cheA,Aerotactic Two-Component Signal Transduction System
cheA,Chemotactic Two-Component Signal Transduction
araA,L-arabinose degradation I
yjjN,L-galactonate degradation
citC,citrate lyase activation
atoS,AtoSC Two-Component Signal Transduction System
glxK,superpathway of glycol metabolism and degradation
glxK,superpathway of D-glucarate and D-galactarate degradation
glxK,2-O-&alpha;-mannosyl-D-glycerate degradation
glxK,glycolate and glyoxylate degradation I
glxK,D-galactarate degradation I
glxK,D-glucarate degradation I
dgoK,D-galactonate degradation
gatC,superpathway of hexitol degradation (bacteria)
gatC,galactitol degradation
yedV,HprSR Two-Component Signal Transduction System
idnK,ketogluconate metabolism
idnK,L-idonate degradation
idnK,D-gluconate degradation
evgS,EvgSA Two-Component Signal Transduction System
garR,superpathway of D-glucarate and D-galactarate degradation
garR,D-galactarate degradation I
garR,D-glucarate degradation I
pfkA,superpathway of hexitol degradation (bacteria)
pfkA,superpathway of glycolysis and the Entner-Doudoroff pathway
pfkA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
pfkA,glycolysis II (from fructose 6-phosphate)
pfkA,glycolysis I (from glucose 6-phosphate)
pfkA,sedoheptulose bisphosphate bypass
cpxA,CpxAR Two-Component Signal Transduction System
yehU,BtsSR Two-Component Signal Transduction System
fucI,superpathway of fucose and rhamnose degradation
fucI,fucose degradation
fucI,D-arabinose degradation I
phoQ,"PhoQP Two-Component Signal Transduction System, magnesium-dependent"
aceF,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
aceF,pyruvate decarboxylation to acetyl CoA I
cheB,Chemotactic Two-Component Signal Transduction
citA,DpiBA Two-Component Signal Transduction System
paaH,superpathway of phenylethylamine degradation
paaH,phenylacetate degradation I (aerobic)
bacA,polyisoprenoid biosynthesis (E. coli)
bacA,"di-trans,poly-cis-undecaprenyl phosphate biosynthesis"
prpD,2-methylcitrate cycle I
barA,BarA UvrY Two-Component Signal Transduction System
mngB,2-O-&alpha;-mannosyl-D-glycerate degradation
arcB,"ArcAB Two-Component Signal Transduction System, quinone dependent"
yfhK,GlrKR Two-Component Signal Transduction System
cusS,CusSR Two-Component Signal Transduction System
rhaD,superpathway of fucose and rhamnose degradation
rhaD,L-rhamnose degradation I
rpiA,pentose phosphate pathway
rpiA,pentose phosphate pathway (non-oxidative branch)
basS,BasSR Two-Component Signal Transduction System
malP,glycogen degradation I
glgX,glycogen degradation I
fbaA,superpathway of hexitol degradation (bacteria)
fbaA,superpathway of glycolysis and the Entner-Doudoroff pathway
fbaA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
fbaA,gluconeogenesis I
fbaA,glycolysis II (from fructose 6-phosphate)
fbaA,glycolysis I (from glucose 6-phosphate)
fbaA,sedoheptulose bisphosphate bypass
envZ,EnvZ/OmrR Two-Component Signal Transduction System
mhpD,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
mhpD,"2-hydroxypenta-2,4-dienoate degradation"
hcaF,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
hcaB,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
hcaF,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
hcaB,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
hcaF,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
hcaB,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
paaJ,superpathway of phenylethylamine degradation
paaE,superpathway of phenylethylamine degradation
paaJ,phenylacetate degradation I (aerobic)
paaE,phenylacetate degradation I (aerobic)
glk,glucose and glucose-1-phosphate degradation
glk,trehalose degradation II (cytosolic)
glk,trehalose degradation I (low osmolarity)
glk,glycogen degradation I
dsbB,periplasmic disulfide bond formation
yihU,sulfoquinovose degradation I
citX,citrate lyase activation
rstB,RstBA Two-Component Signal Transduction System
uxuA,superpathway of hexuronide and hexuronate degradation
uxuA,superpathway of &beta;-D-glucuronosides degradation
uxuA,D-fructuronate degradation
kdpD,"KdpDE Two-Component Signal Transduction System, potassium-dependent"
rbsK,ribose phosphorylation
qseC,"QseBC Two-Component Signal Transduction System, quorum sensing related"
baeS,BaeSR Two-Component Signal Transduction System
galT,galactose degradation I (Leloir pathway)
hcaE,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
hcaE,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
hcaE,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
paaB,superpathway of phenylethylamine degradation
paaB,phenylacetate degradation I (aerobic)
lyxK,L-lyxose degradation
lyxK,"L-ascorbate degradation II (bacterial, aerobic)"
selA,L-selenocysteine biosynthesis I (bacteria)
yihQ,sulfoquinovose degradation I
galK,galactose degradation I (Leloir pathway)
cpsB,colanic acid building blocks biosynthesis
cpsB,GDP-mannose biosynthesis
frlB,fructoselysine and psicoselysine degradation
yeaU,D-malate degradation
yeaU,superpathway of branched chain amino acid biosynthesis
yeaU,L-leucine biosynthesis
dhaK,glycerol degradation V
garD,superpathway of D-glucarate and D-galactarate degradation
garD,D-galactarate degradation I
alsK,D-allose degradation
uhpA,UhpBA Two Component Signal Transduction System
lpd,folate transformations III (E. coli)
lpd,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
lpd,superpathway of glyoxylate bypass and TCA
lpd,TCA cycle I (prokaryotic)
lpd,glycine cleavage
lpd,pyruvate decarboxylation to acetyl CoA I
lpd,2-oxoglutarate decarboxylation to succinyl-CoA
rfaJ,superpathway of lipopolysaccharide biosynthesis
rfaJ,lipid A-core biosynthesis (E. coli K-12)
araB,L-arabinose degradation I
rfaB,superpathway of lipopolysaccharide biosynthesis
rfaB,lipid A-core biosynthesis (E. coli K-12)
rffC,enterobacterial common antigen biosynthesis
rffC,dTDP-N-acetylthomosamine biosynthesis
glcB,superpathway of glycol metabolism and degradation
glcB,glycolate and glyoxylate degradation II
gatD,superpathway of hexitol degradation (bacteria)
gatD,galactitol degradation
treF,trehalose degradation II (cytosolic)
dkgB,superpathway of methylglyoxal degradation
dkgB,methylglyoxal degradation III
dkgB,ketogluconate metabolism
zwf,pentose phosphate pathway
zwf,superpathway of glycolysis and the Entner-Doudoroff pathway
zwf,pentose phosphate pathway (oxidative branch) I
srlD,superpathway of hexitol degradation (bacteria)
srlD,D-sorbitol degradation II
pfkB,superpathway of glycolysis and the Entner-Doudoroff pathway
pfkB,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
pfkB,glycolysis II (from fructose 6-phosphate)
pfkB,glycolysis I (from glucose 6-phosphate)
pfkB,superpathway of hexitol degradation (bacteria)
pfkB,galactitol degradation
malY,superpathway of S-adenosyl-L-methionine biosynthesis
malY,superpathway of L-homoserine and L-methionine biosynthesis
malY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
malY,aspartate superpathway
malY,L-methionine biosynthesis I
malY,L-cysteine degradation II
malY,L-alanine degradation I
malY,alanine racemization
fucK,superpathway of fucose and rhamnose degradation
fucK,fucose degradation
fucK,D-arabinose degradation I
ackA,superpathway of acetate utilization and formation
ackA,acetate and ATP formation from acetyl-CoA I
ackA,mixed acid fermentation
ackA,ethanolamine utilization
ackA,superpathway of L-threonine metabolism
ackA,L-threonine degradation I
paaJ,superpathway of phenylethylamine degradation
paaE,superpathway of phenylethylamine degradation
paaJ,phenylacetate degradation I (aerobic)
paaE,phenylacetate degradation I (aerobic)
mhpE,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
mhpE,"2-hydroxypenta-2,4-dienoate degradation"
gatA,superpathway of hexitol degradation (bacteria)
gatA,galactitol degradation
gpmA,colanic acid building blocks biosynthesis
pgm,colanic acid building blocks biosynthesis
gpmA,UDP-&alpha;-D-glucose biosynthesis I
pgm,UDP-&alpha;-D-glucose biosynthesis I
gpmA,glycogen degradation I
pgm,glycogen degradation I
rhaA,superpathway of fucose and rhamnose degradation
rhaA,L-rhamnose degradation I
rhaA,L-lyxose degradation
mtlD,superpathway of hexitol degradation (bacteria)
mtlD,mannitol degradation I
malQ,glycogen degradation I
garL,superpathway of D-glucarate and D-galactarate degradation
garL,D-galactarate degradation I
garL,D-glucarate degradation I
mhpF,superpathway of L-threonine metabolism
mhpE,superpathway of L-threonine metabolism
mhpF,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
mhpE,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
mhpF,superpathway of purine deoxyribonucleosides degradation
mhpE,superpathway of purine deoxyribonucleosides degradation
mhpF,superpathway of pyrimidine deoxyribonucleosides degradation
mhpE,superpathway of pyrimidine deoxyribonucleosides degradation
mhpF,ethanol degradation I
mhpE,ethanol degradation I
mhpF,L-threonine degradation IV
mhpE,L-threonine degradation IV
mhpF,"2-hydroxypenta-2,4-dienoate degradation"
mhpE,"2-hydroxypenta-2,4-dienoate degradation"
mhpF,2-deoxy-&alpha;-D-ribose 1-phosphate degradation
mhpE,2-deoxy-&alpha;-D-ribose 1-phosphate degradation
mhpF,ethanolamine utilization
mhpE,ethanolamine utilization
idnO,ketogluconate metabolism
idnO,L-idonate degradation
hcaD,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
hcaD,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
hcaD,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
paaF,superpathway of phenylethylamine degradation
paaF,phenylacetate degradation I (aerobic)
pphB,2-methylcitrate cycle I
prpB,2-methylcitrate cycle I
yihV,sulfoquinovose degradation I
treC,trehalose degradation I (low osmolarity)
xylA,D-xylose degradation I
ileS,tRNA charging
gcd,glucose and glucose-1-phosphate degradation
valS,tRNA charging
glyQ,tRNA charging
thrS,tRNA charging
mhpA,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
mhpA,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
mhpA,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
cysS,tRNA charging
proS,tRNA charging
argS,tRNA charging
paaC,superpathway of phenylethylamine degradation
paaC,phenylacetate degradation I (aerobic)
metG,tRNA charging
ldcC,superpathway of arginine and polyamine biosynthesis
ldcC,superpathway of polyamine biosynthesis I
ldcC,aminopropylcadaverine biosynthesis
ldcC,cadaverine biosynthesis
ldcC,L-lysine degradation I
leuS,tRNA charging
sgbU,L-lyxose degradation
sgbU,"L-ascorbate degradation II (bacterial, aerobic)"
glyS,tRNA charging
trpS,tRNA charging
yihS,sulfoquinovose degradation I
glnS,tRNA charging
galU,colanic acid building blocks biosynthesis
galU,UDP-&alpha;-D-glucose biosynthesis I
asnS,tRNA charging
uidA,superpathway of hexuronide and hexuronate degradation
uidA,superpathway of &beta;-D-glucuronosides degradation
uidA,&beta;-D-glucuronide and D-glucuronate degradation
pheS,tRNA charging
lysS,tRNA charging
melA,melibiose degradation
hisS,tRNA charging
tyrS,tRNA charging
serS,tRNA charging
serS,L-selenocysteine biosynthesis I (bacteria)
aspS,tRNA charging
dgoD,D-galactonate degradation
pheT,tRNA charging
frlC,fructoselysine and psicoselysine degradation
alaS,tRNA charging
gatZ,superpathway of hexitol degradation (bacteria)
gatZ,galactitol degradation
lysU,tRNA charging
maoC,superpathway of phenylethylamine degradation
maoC,phenylacetate degradation I (aerobic)
uxaA,superpathway of hexuronide and hexuronate degradation
uxaA,D-galacturonate degradation I
alsE,D-allose degradation
uhpB,UhpBA Two Component Signal Transduction System
fucU,superpathway of fucose and rhamnose degradation
fucU,fucose degradation
fucU,ribose phosphorylation
dkgA,superpathway of methylglyoxal degradation
dkgA,methylglyoxal degradation III
dkgA,ketogluconate metabolism
yneI,superpathway of L-arginine and L-ornithine degradation
yneI,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
yneI,superpathway of 4-aminobutanoate degradation
yneI,4-aminobutanoate degradation I
yneI,L-lysine degradation I
pta,superpathway of acetate utilization and formation
pta,acetate and ATP formation from acetyl-CoA I
pta,mixed acid fermentation
pta,ethanolamine utilization
pta,superpathway of L-threonine metabolism
pta,L-threonine degradation I
gatY,superpathway of hexitol degradation (bacteria)
gatY,galactitol degradation
kdgK,superpathway of hexuronide and hexuronate degradation
kdgK,superpathway of &beta;-D-glucuronosides degradation
kdgK,D-fructuronate degradation
kdgK,D-galacturonate degradation I
poxB,pyruvate to cytochrome bd oxidase electron transfer
poxB,pyruvate to cytochrome bo oxidase electron transfer
malZ,glycogen degradation I
fucO,superpathway of glycol metabolism and degradation
fucO,ethylene glycol degradation
fucO,superpathway of fucose and rhamnose degradation
fucO,L-lactaldehyde degradation (anaerobic)
aldA,superpathway of fucose and rhamnose degradation
aldA,methylglyoxal degradation IV
aldA,superpathway of methylglyoxal degradation
aldA,L-lactaldehyde degradation (aerobic)
aldA,superpathway of glycol metabolism and degradation
aldA,ethylene glycol degradation
aldA,D-arabinose degradation I
glgX,tRNA processing
glgX,tRNA charging
cysU,tRNA processing
cysU,tRNA charging
wzxE,enterobacterial common antigen biosynthesis
acnA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
acnA,superpathway of glyoxylate bypass and TCA
acnA,glyoxylate cycle
acnA,TCA cycle I (prokaryotic)
yqcD,queuosine biosynthesis I (de novo)
trmE,tRNA-uridine 2-thiolation and selenation (bacteria)
selD,L-selenocysteine biosynthesis I (bacteria)
iscS,superpathway of L-alanine biosynthesis
iscS,superpathway of thiamine diphosphate biosynthesis I
iscS,L-alanine biosynthesis III
iscS,thiazole component of thiamne diphosphate biosynthesis
iscS,molybdenum cofactor biosynthesis
iscS,tRNA-uridine 2-thiolation and selenation (bacteria)
queA,queuosine biosynthesis I (de novo)
yheN,tRNA-uridine 2-thiolation and selenation (bacteria)
yrdC,N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
gidA,tRNA-uridine 2-thiolation and selenation (bacteria)
yjeE,N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
ygcM,preQ<sub>0</sub> biosynthesis
trmU,tRNA-uridine 2-thiolation and selenation (bacteria)
yehT,BtsSR Two-Component Signal Transduction System
yheL,tRNA-uridine 2-thiolation and selenation (bacteria)
yecO,5-(methoxycarbonylmethoxy)uridine biosynthesis
yccK,tRNA-uridine 2-thiolation and selenation (bacteria)
ygjD,N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
ybbB,tRNA-uridine 2-thiolation and selenation (bacteria)
tgt,queuosine biosynthesis I (de novo)
smtA,5-(methoxycarbonylmethoxy)uridine biosynthesis
qseB,"QseBC Two-Component Signal Transduction System, quorum sensing related"
yjeS,queuosine biosynthesis I (de novo)
ybaX,preQ<sub>0</sub> biosynthesis
yheM,tRNA-uridine 2-thiolation and selenation (bacteria)
yecP,5-(methoxycarbonylmethoxy)uridine biosynthesis
yeaZ,N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
baeR,BaeSR Two-Component Signal Transduction System
yfhA,GlrKR Two-Component Signal Transduction System
phoP,"PhoQP Two-Component Signal Transduction System, magnesium-dependent"
cusR,CusSR Two-Component Signal Transduction System
uvrY,BarA UvrY Two-Component Signal Transduction System
lsrF,autoinducer AI-2 degradation
kdpE,"KdpDE Two-Component Signal Transduction System, potassium-dependent"
rstA,RstBA Two-Component Signal Transduction System
citG,citrate lyase activation
evgA,EvgSA Two-Component Signal Transduction System
creB,CreCB Two-Component Signal Transduction System
ydeV,autoinducer AI-2 degradation
ompR,EnvZ/OmrR Two-Component Signal Transduction System
ycjQ,D-gulosides conversion to D-glucosides
basR,BasSR Two-Component Signal Transduction System
yedW,HprSR Two-Component Signal Transduction System
nudG,pyrimidine deoxyribonucleotides dephosphorylation
citB,DpiBA Two-Component Signal Transduction System
arcA,"ArcAB Two-Component Signal Transduction System, quinone dependent"
lsrG,autoinducer AI-2 degradation
ybcF,allantoin degradation IV (anaerobic)
ygcF,preQ<sub>0</sub> biosynthesis
tesA,cis-vaccenate biosynthesis
tesA,superpathway of unsaturated fatty acids biosynthesis (E. coli)
tesA,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
ybiV,glucose and glucose-1-phosphate degradation
yggF,superpathway of hexitol degradation (bacteria)
yggF,superpathway of glycolysis and the Entner-Doudoroff pathway
yggF,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
yggF,gluconeogenesis I
yggF,glycolysis II (from fructose 6-phosphate)
yggF,glycolysis I (from glucose 6-phosphate)
pps,superpathway of hexitol degradation (bacteria)
pps,superpathway of glycolysis and the Entner-Doudoroff pathway
pps,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
pps,gluconeogenesis I
pps,glycolysis II (from fructose 6-phosphate)
pps,glycolysis I (from glucose 6-phosphate)
pck,gluconeogenesis I
maeB,gluconeogenesis I
epd,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
epd,pyridoxal 5'-phosphate biosynthesis I
gpmA,superpathway of hexitol degradation (bacteria)
pgm,superpathway of hexitol degradation (bacteria)
gpmA,superpathway of glycolysis and the Entner-Doudoroff pathway
pgm,superpathway of glycolysis and the Entner-Doudoroff pathway
gpmA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
pgm,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
gpmA,glycolysis II (from fructose 6-phosphate)
pgm,glycolysis II (from fructose 6-phosphate)
gpmA,glycolysis I (from glucose 6-phosphate)
pgm,glycolysis I (from glucose 6-phosphate)
eno,superpathway of hexitol degradation (bacteria)
eno,superpathway of glycolysis and the Entner-Doudoroff pathway
eno,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
eno,gluconeogenesis I
